X,Y,Z,Object,SPARC,DAPI,CD20,CD3,Bcl6,CD138,CD163,CD11c,HLA-DR,CD4,CD25,FoxP3,CD8,CD68,DC-SIGN,Va7.2,CD45
0.554146341,431.7077073,0,5,1.104315261,55.30646326,60.89675389,10.57032201,10.04866209,0,0,3.913703255,9.062116266,17.97627162,39.86715746,38.97247309,2.469323992,0,1.561737619,0,30.58096012
0.943961905,440.8626666,0,5,0.690065559,88.2995443,111.5901941,4.940599539,12.55843484,0,0,0.647338875,72.01243279,3.608191738,7.487767803,13.71443452,2.271982562,0,0,0,50.80916678
1.00645614,450.6033684,0,6,1.480872194,175.6703951,28.99137803,6.803636798,15.55296553,0,0,2.675424216,28.94777512,2.951360079,0,15.87036298,0.468292906,0.486664263,0,0,38.8395259
5.643854545,453.9820897,0,15,3.013303835,90.75697819,27.93696368,23.63520743,20.2604855,0,0,10.06295336,15.82828309,11.26049679,4.342600813,13.53030269,1.044465936,0.837022139,0,1.323448205,49.00442775
0.552785714,463.7314286,0,2,0,168.6223591,45.49862635,128.0746852,1.38873015,0,0,2.138089935,50.79211834,28.39359837,0,24.69058525,0.944911183,0,0,0,61.92362808
0.577311475,471.0628852,0,5,0,73.89991016,34.23903438,19.29452483,14.16530048,0,0,1.828732429,21.39978551,7.834350591,8.417390273,13.22503835,1.920553199,0,0,0,53.24949011
3.588061856,475.8976288,0,9,0.358979079,140.2898632,17.89800235,82.32113799,3.455161983,0,0,1.21559172,19.92115041,22.82617717,2.077121323,8.684722139,2.527851729,0,0,0,66.94342896
0.712897959,480.7134693,0,5,0.714285714,99.69473816,55.45415463,14.31568285,10.32136678,0,0,1.309307341,22.47810726,10.54339913,5.749889085,18.59119827,2.945075447,1.133893419,0,0,50.94294528
2.612983819,488.2079482,0,7,0,121.0899663,32.99990193,2.91575344,11.37703359,0,1.421062094,0.633478096,31.60839469,4.056238952,0.88679635,10.62710097,0.696733014,0,0.985329278,0,32.77317357
3.178437614,495.4870451,0,11,0.918958448,126.8016135,27.6370823,2.75523503,14.9189492,0,1.53087572,0.875629456,31.82249026,5.512930715,4.79111595,13.66738703,1.870103613,0.775996122,1.344737247,0,41.39663919
7.740800725,504.6270978,0,15,4.720925511,134.3781336,28.03640232,15.55468963,17.2242246,0,0,11.19220258,14.9324263,14.14107877,13.69207165,15.74735428,1.688623485,4.693987057,0,0,38.1283706
1.397165829,512.8369246,0,4,3.296869232,106.3261551,27.19130071,26.71278466,9.520145263,0,0,16.49303188,19.72524847,16.83812974,11.69439156,13.12579263,13.02047093,1.927061971,1.227818264,0,60.52928192
0.753890909,520.8069455,0,2,0,145.8382354,10.68388761,151.5344545,0,0,0,1.684150717,19.22805715,0.70064905,0,3.67794409,73.62324238,0,0,0,66.91344477
0.399135135,526.4131893,0,2,0,146.7385062,2.770500979,148.1143641,1.394971665,0,0,3.170812838,10.73891635,30.01080886,0,7.874007874,43.17876105,0,0,0,67.96779842
3.530494505,530.043868,0,16,0,106.8381234,0,125.3679749,1.133893419,0,0,3.729891139,0.981980506,23.15013113,0,4.135081752,38.59567817,0,0,0,38.24954212
1.079505376,536.8806236,0,6,0.518475847,141.3227451,34.86502391,19.33379681,7.894465191,0,0,0.146647115,83.42490668,10.37936331,0,12.1398659,2.450586939,0,0,0,51.45893028
0.915755102,542.7211021,0,4,0.714285714,132.9105116,14.4222051,41.92948405,6.030534548,0,0,0.638876565,43.33978236,38.83849342,0,5.794085654,3.202358824,0,0,0,64.43435197
3.526228149,555.9171675,0,15,16.22085991,54.69149843,3.760614607,42.62940213,7.146094504,0,0,1.612910872,8.454321709,9.009460049,0.848528137,10.68231491,27.38665531,0.163299316,1.247219129,4.189758236,22.56472173
3.434611368,576.7922211,0,17,5.997567351,33.24930268,0.135768847,3.198021662,7.838226076,21.01992325,0,1.939167003,4.917444418,2.600366275,0,10.60671034,5.592402131,0.11757927,0,5.203832925,3.749654362
2.66980322,594.2443434,0,8,4.985847592,69.60291154,0.671420143,62.4475594,6.252298325,0,0,2.276110671,4.438407747,28.50386786,0,6.174997194,8.749853053,0.283726795,0,1.902357073,53.80182944
0.830566038,734.8848303,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.340260871,43.12478261,0,2,0.329690237,128.5430143,2.103826741,88.84852767,2.454808945,0,0,1.222968591,14.45021438,55.73814945,1.9983689,13.80666191,39.70743551,0,0,0,73.41746327
3.817152543,102.5013075,0,8,7.606547454,73.51086626,0.781133466,22.95890634,12.70564497,0,0,7.08509331,5.399085206,24.15201053,1.596758217,10.20171851,2.547372002,1.328583145,0.852286485,0,29.55034281
3.093878787,291.9132726,0,9,0,92.10797353,5.631351633,82.40766182,2.088931871,0,0,7.567874687,33.9690144,36.2469957,0,9.662094007,5.624621199,0,0,0,49.95342528
4.817126126,429.3030992,0,11,0,145.4380305,21.22440165,12.37150169,10.55871614,0,0,9.759610648,8.054571753,9.537384951,9.712187013,15.8532118,0.410997468,0.246598481,0.474578998,0,42.16574973
1.6685,444.8741666,0,5,2.765110004,106.9679664,67.31603016,11.67663265,12.0467838,0,0,46.1404107,61.73152558,12.93453066,0,17.82116018,1.613743061,0,0,0,73.26770264
4.691378787,568.0215153,0,13,27.24569051,8.740687685,1.525043467,1.256799688,7.222125096,0,0,0.087038828,6.524284473,4.897819552,0.391674726,7.912159802,18.43277097,0.130558242,0.615457455,1.281423214,1.332149095
3.158251258,140.654211,0,2,0,157.27026,9.562279327,109.7427554,3.321923521,0,0,1.367240554,12.99091294,32.84392818,0.637993085,18.44208645,19.3327124,0,0,0,77.14819649
4.29995671,160.2282511,0,4,0.77151675,146.0123712,22.53453338,82.47450085,3.18274569,0,0,1.282583972,24.64663689,44.57242756,0.725240668,38.32174679,0.697863158,0.369274473,0,0,56.02509874
5.364912801,192.1515547,0,7,0.714285714,139.8595572,40.08032288,21.72338326,12.73972357,0,0,0.970817226,17.37142003,6.570722718,11.09195834,9.193245887,0.646095738,0.447628258,0.430730492,1.268280065,41.39351405
4.567065989,116.6598477,0,2,0,175.7252051,6.972935351,75.41761902,3.311263657,0,0,1.385200969,5.534845776,59.30757393,0.64122345,26.16838291,20.71519465,0,0,0,84.27691846
3.491121952,233.5596951,0,4,0.390434405,182.195737,28.3946491,29.99700188,4.661727933,0,0.382546028,0.707106781,54.09975542,17.42413871,0,22.32561145,2.257777884,0,3.865103413,0,50.70391696
3.989680155,256.8755376,0,8,1.911833145,29.00810464,1.008633254,39.08138339,5.906790449,0,57.20382379,17.67137393,9.485411169,37.95144449,22.94523093,5.344040312,28.65259322,4.930147907,94.67200248,0,16.73596384
