X,Y,Z,Object
7.97888066,35.84594239,0,4
8.820456954,386.0918875,0,8
7.835170568,5.483384616,0,16
7.868612766,275.0159319,0,13
9.302775,395.6568189,0,2
8.599983673,95.78334693,0,4
8.788799999,155.7536,0,4
9.047428572,72.25512462,0,8
8.583926199,308.2500369,0,6
11.14184779,366.6721487,0,17
9.926858613,132.6710746,0,2
8.765594305,138.738548,0,16
10.07282687,420.5724445,0,4
7.608833334,22.29991667,0,10
9.672597403,144.3743506,0,2
10.71052073,497.0211941,0,7
7.737551021,519.3142858,0,5
9.7953375,54.38245,0,2
11.41039399,108.4222316,0,8
9.463612905,329.6507095,0,13
8.668042554,163.5598298,0,9
8.313454545,324.6378182,0,13
9.128146598,480.8432252,0,2
9.612307693,515.2251539,0,6
9.7278875,529.9724,0,2
10.02255814,90.40226358,0,16
10.07919737,101.5271974,0,16
11.04418737,254.9492872,0,13
8.7756,347.1048,0,2
9.860836238,523.8859932,0,2
10.04017054,597.6647906,0,13
10.71791304,175.1004058,0,14
11.31648387,407.2688257,0,11
11.18860641,17.49622157,0,16
11.13522613,121.3165226,0,16
11.56700767,150.0776573,0,6
13.20052342,214.6844408,0,11
10.63709091,205.8887046,0,10
11.81028406,268.7224464,0,7
12.69804975,334.041224,0,4
9.812091603,459.5531908,0,2
9.59160465,563.8621862,0,13
11.61979016,23.83458361,0,2
11.45637545,80.43146571,0,9
11.73275,42.10102779,0,2
12.42080652,537.8086598,0,10
12.5936112,551.2784509,0,7
11.23268966,1.508137931,0,14
11.74443903,180.5512683,0,4
11.35585401,344.6806425,0,2
12.76831485,197.2910912,0,4
10.5648,301.892,0,2
12.57063481,544.1653241,0,7
12.62367723,7.746570605,0,16
13.96230435,28.31233044,0,2
13.3955665,470.4040296,0,6
16.53549811,485.941683,0,15
12.37514894,227.9806979,0,4
11.83333333,322.7470666,0,13
11.68311377,414.9137964,0,5
13.17190676,477.4874125,0,7
11.73731429,299.0783714,0,2
12.90932143,355.90525,0,4
11.72698701,442.8242338,0,10
12.99138636,48.82460226,0,2
12.78549677,126.500929,0,2
14.55207216,190.5530206,0,14
12.81530387,622.0494364,0,13
12.6100303,59.143,0,16
14.73344487,429.9338859,0,4
14.4885259,437.0522391,0,7
13.63090348,462.3596757,0,6
19.21099738,524.9307664,0,15
12.81786667,12.61771429,0,16
11.96637838,272.4941622,0,10
13.3790625,98.37715625,0,16
14.3182614,140.3408875,0,14
13.47290741,350.8990925,0,2
14.79776048,450.3466228,0,4
14.40285714,456.3190286,0,9
14.027825,93.352575,0,2
15.34946552,161.6039569,0,9
14.8821958,251.0897622,0,13
15.37517241,305.4508137,0,2
14.23678757,387.7556478,0,10
15.85260325,563.4899352,0,17
14.29284615,35.926,0,7
14.75725405,135.3758919,0,2
15.01620168,171.2985378,0,14
